Tabel 1
Section;Button;Code
power;toggle;JgBKAVMcDhANEA0eDR8qHw0QDRANEA0QDhANEBsfDRANEA0QHBANEA0fDRAcHg0RGxANHw0QDRANEA0RGxANHw0QDQAI51cdDRANEA0fDR4rHg0QDRAOEA0QDRANEBweDRANEQ0QGxANEQ0eDRAcHw0QGxAOHg0QDRAOEA0QGxAOHg0QDQAI6FYdDRANEA0fDR4rHg0QDRAOEA0QDRANEBweDRANEQ0QGxANEQ0eDRAcHw0QGxAOHg0QDRANEQ0QGxAOHg0QDQAI51ccDhANEA0eDh4qHw0QDRANEA4QDRANEBweDRANEA4QGxANEA0fDRAcHg4QGxANHw0QDREMEA4QGxEMHw0QDQAI5lgcDhANEA0eDh4qHw0QDRANEA0RDRANEBsfDw4NEA0RGxANEA0fDRAcHg4QGxANHw0QDRANEA4QGxANHw0QDQANBQ==
channel;0;JgDMAFIeDRANEA0fDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0QDR8bHw0QHBANHg0QDRENEA0QDRANEA0QDRANAAjpUh4OEA0QDR4NHyofDRANEA0QDRANEQ0QGx8NEA0QDRAcEA0QDRANHxsfDRAcEA0fDRANEA0QDRANEA0QDRANEQ0ACOZWHQ0QDRANHg4eKh8NEA0QDRANEA0RDRAbHw0QDRANEBwQDRANEA0fHB4NEBwQDR8NEA0QDRANEA0QDRANEQ0QDQANBQ==
channel;1;JgAIAVEeDRANEA0fDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0eDhAbHw0QHBANHg4QDRANEA0QDRANEA0QHAAI7lcdDRANEA0fDR4qHw0QDRANEQ0QDRANEBweDRANEA0RGxANEA0fDRAcHg0QHBANHw0QDRANEA0QDRANEQ0QGwAI7lUfDRANEA0fDR8qHg4QDRANEA0QDRANEBweDhANEA0QHBANEA0eDhAbHw0QHBANHg0QDRENEA0QDRANEA0QHAAI71YdDRANEA0eDh4qHw0QDRANEA0RDRANEBsfDRANEA0QHBANEA0fDRAcHg0QHBANHw0QDRANEA0QDRANEA0RGwANBQ==
channel;2;JgAIAVMdDRANEA0eDh4qHw0QDRANEA0RDRANEBweDRANEA0QHBANEA0QDR8cHg0QHBANHw0QDRANEA0QDRAOEBsfDQAI5VYeDRANEQ0eDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0QDR8bHw0QHBANHg0RDRANEA0QDRANEBweDQAI5VgcDhANEA0eDR8qHw0QDRANEA0QDRAOEBsfDRANEA0QHBANEA0QDR8bHw0QHBANHw0QDRANEA0QDRANEBweDQAI5VYfDRANEA0fDR4rHg0QDRANEA4QDRANEBsfDRANEA0QHBANEA0QDR8cHg0QHBANHw0QDRANEA0QDRANERsfDQANBQ==
channel;3;JgAIAVEeDhANEA0eDR8qHw0QDRANEA0QDRENEBsfDRANEA0QHBANEA0fDRAcHg0QHBANHw0QDRANEA0QDRANEBwQDQAI7lUfDRANEA0fDR8qHg4QDRANEA0QDRANEBweDhANEA0QHBANEA0eDREbHw0QHBANHg0QDhANEA0QDRANEBwQDQAI7VYeDhANEA0eDR8qHw0QDRANEA0QDRENEBsfDRANEA0QHBANEA0fDRAcIAsRGxANHw0QDRANEA0QDRANEBwQDQAI7VgdDRANEA0fDR4rHg0QDRENEA0QDRANEBweDRANEQ0QGxANEA4eDRAcHw0QGxANHw0QDRANEA0RDRANEBsQDQANBQ==
channel;4;JgDGAFMdDRANEA0fDR8qHg0RDRANEA0QDRANEBweDhANEA0QGxENEA0QDR4cHw0QGxENHg0QDRAOEA0QDRAcHg0QDQAI5lUfDRANEA0fDR4rHg0QDhANEA0QDRANEBweDRENEA0QGxANEQ0QDR4cHw0QGxENHg0QDRANEQ0QDRAbHw0QDQAI6lEfDRANEA0fDR4rHg0QDhANEA0QDRANEBweDRAOEA0QGxANEQ0QDR4cHw0QGxAOHg0QDRANEQ0QDRAbHw0QDQANBQ==
channel;5;JgDAAFMdDRANEA0fDR8qHg0RDRANEA0QDRANEBweDRENEA0QGxAOEA0eDRAcHw0QGxAOHg0QDRAOEA0QDRAbHxwACO1WHg4QDRANHg0fKh8NEA0QDRANEA0RDRAbHw0QDRANEBwQDRANHw0QHB4NEBwQDR8NEA0QDRANEA0QHB8bAAjuWBwNEA0RDR4NHyofDRANEA0QDRANEA0RGx8NEA0QDRAcEA0QDR8NEBsfDRAcEA0eDhANEA0QDRANEBweHAANBQ==
channel;6;JgDGAFMcDRAOEA0fDB8qHw0QDRANEA0QDRANERsfDRANEA0QHBANEA0QDR8bHw0QHBANHg4QDRANEA0QDRAcEA0eDgAI5FYfDRANEA0fDR4rHg0QDRANEQ0QDRANEBweDRANEA0QHBANEA0QDR8cHg0QHBANHw0QDRANEA0QDRAcEA0fDQAI5VcdDRANEA0fDR8qHg0RDRANEA0QDRANEBweDRAOEA0QGxANEA4QDR4cHg4QGxANHw0QDRANEA0QDhAbEA0fDQANBQ==
channel;7;JgDGAFQcDRANEA4eDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0fDRAbHw0QHBANHw0QDRANEA0QDRAcEA0QDQAI7VYfDRANEA0fDR8qHg4QDRANEA0QDRANEBwfDRANEA0QHBANEA0eDREbHw0QHBANHg0QDhANEA0QDRAcEA0QDQAI71QfDRANEA0eDh4qHw0QDRANEA0QDhANEBsfDRANEA0QHBANEA0fDRAcHg0QHBANHw0QDRANEA0QDRAcEA0QDQANBQ==
channel;8;JgDGAFEfDRANEA0fDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0QDR8bHw0QHBANHg4QDRANEA0QHB4NEA0QDgAI5VgcDRANEA4eDR8qHw0QDRANEA0QDRANEBwfDRANEA0QHBANEA0QDR8bHw0QHBANHg4QDRANEA0QHB4NEA0RDQAI5VUfDRANEA0fDR8qHg4QDRANEA0QDRANEBwfDRANEA0QHBANEA0QDR4cHw0QHBANHg0QDRENEA0QGx8NEA0QDQANBQ==
